Id,SalePrice
1461,125198.12
1462,163898.62
1463,188449.53
1464,197330.62
1465,185688.6
1466,170257.75
1467,176196.1
1468,167528.62
1469,177894.75
1470,130961.71
1471,202830.81
1472,94284.52
1473,103348.51
1474,147590.33
1475,116160.53
1476,375241.7
1477,264243.16
1478,288508.38
1479,253021.38
1480,503581.75
1481,308454.28
1482,203412.75
1483,165045.72
1484,170373.38
1485,180547.67
1486,196544.98
1487,324640.5
1488,245714.31
1489,216891.95
1490,235207.52
1491,181454.72
1492,90448.49
1493,183022.56
1494,302195.44
1495,285672.75
1496,244647.75
1497,177391.28
1498,165806.8
1499,159116.61
1500,158315.95
1501,180699.72
1502,142772.81
1503,285675.38
1504,253876.31
1505,231364.2
1506,193744.5
1507,256312.11
1508,202741.73
1509,164518.75
1510,148967.81
1511,151815.44
1512,168378.84
1513,142919.69
1514,162843.31
1515,193840.44
1516,150032.11
1517,165083.11
1518,138623.83
1519,228123.4
1520,141070.9
1521,141933.34
1522,172488.52
1523,114789.484
1524,129869.7
1525,123978.54
1526,106428.96
1527,100896.234
1528,138377.25
1529,146783.89
1530,167863.9
1531,100448.92
1532,90372.586
1533,147898.39
1534,127948.09
1535,151377.77
1536,109508.83
1537,63351.285
1538,171199.2
1539,197543.12
1540,93456.15
1541,150211.77
1542,132481.66
1543,220175.56
1544,71498.54
1545,109034.76
1546,131118.34
1547,134934.17
1548,134562.25
1549,112471.88
1550,143297.44
1551,120197.37
1552,146880.55
1553,159637.81
1554,106277.13
1555,168233.22
1556,81341.82
1557,107890.836
1558,98996.4
1559,75402.32
1560,124574.71
1561,140007.08
1562,126126.46
1563,124485.125
1564,162794.75
1565,143185.2
1566,233903.16
1567,71333.266
1568,228157.88
1569,132425.75
1570,134757.77
1571,120214.55
1572,145620.5
1573,229951.84
1574,121123.62
1575,220244.16
1576,229213.27
1577,200412.7
1578,141067.08
1579,147280.94
1580,197876.34
1581,157399.97
1582,129026.195
1583,330911.44
1584,227160.55
1585,142987.34
1586,76173.09
1587,101974.0
1588,161049.3
1589,104842.36
1590,131591.86
1591,96929.56
1592,127378.3
1593,126980.43
1594,136526.95
1595,110032.49
1596,239154.08
1597,177157.55
1598,196885.83
1599,165837.36
1600,169380.67
1601,61762.055
1602,107580.64
1603,83068.82
1604,262646.9
1605,252073.75
1606,163708.66
1607,168807.02
1608,214281.89
1609,188516.16
1610,152803.6
1611,140529.48
1612,164669.83
1613,169588.77
1614,113172.62
1615,84792.22
1616,71280.945
1617,89578.13
1618,131474.81
1619,140205.86
1620,185669.31
1621,144602.0
1622,149291.28
1623,277730.22
1624,211302.47
1625,124230.23
1626,158133.8
1627,192555.06
1628,279588.34
1629,184156.64
1630,378830.84
1631,227216.56
1632,235554.67
1633,169125.08
1634,194351.81
1635,174943.03
1636,153544.36
1637,200755.19
1638,184923.33
1639,181138.08
1640,257199.2
1641,178633.45
1642,234171.06
1643,227758.55
1644,232969.84
1645,203382.61
1646,167928.72
1647,152510.28
1648,133527.48
1649,143156.67
1650,116795.49
1651,120073.13
1652,94621.125
1653,100058.3
1654,152622.56
1655,153371.95
1656,142787.23
1657,155635.77
1658,140362.62
1659,125240.82
1660,147171.14
1661,441287.06
1662,407964.1
1663,381165.5
1664,343042.6
1665,334013.4
1666,319069.06
1667,361491.9
1668,331756.9
1669,294605.5
1670,359014.34
1671,264609.03
1672,469039.1
1673,297661.12
1674,257183.92
1675,183935.39
1676,191809.7
1677,223466.78
1678,447603.22
1679,393320.97
1680,345804.2
1681,246194.64
1682,286134.62
1683,166840.27
1684,159132.4
1685,168769.34
1686,168645.33
1687,172439.58
1688,190244.73
1689,193688.33
1690,192808.22
1691,183711.52
1692,260135.66
1693,166499.39
1694,183718.9
1695,166911.66
1696,265900.0
1697,173510.97
1698,390402.75
1699,325873.53
1700,235711.39
1701,259719.92
1702,252329.14
1703,255881.53
1704,290452.75
1705,224163.45
1706,422312.72
1707,212240.56
1708,217408.75
1709,289128.2
1710,226033.81
1711,253944.75
1712,264652.0
1713,286694.97
1714,215581.55
1715,217488.83
1716,188476.5
1717,171319.22
1718,127959.805
1719,189495.77
1720,245365.67
1721,170498.78
1722,121686.984
1723,157274.33
1724,204343.55
1725,245259.5
1726,182174.34
1727,151140.64
1728,176500.66
1729,167873.28
1730,161046.66
1731,119900.59
1732,130622.35
1733,116547.44
1734,122152.664
1735,126570.53
1736,118502.0
1737,337530.72
1738,220376.39
1739,256454.06
1740,232370.38
1741,195536.27
1742,175091.83
1743,175009.28
1744,322166.66
1745,218528.38
1746,184939.92
1747,215136.22
1748,234674.16
1749,156482.55
1750,128130.555
1751,229903.25
1752,115647.586
1753,142846.83
1754,199247.66
1755,175260.28
1756,122406.12
1757,119883.266
1758,146563.88
1759,170471.02
1760,164141.7
1761,144057.03
1762,183699.9
1763,159109.97
1764,110229.1
1765,145300.45
1766,172112.14
1767,211282.48
1768,146599.47
1769,178094.2
1770,146451.62
1771,129577.73
1772,128720.61
1773,142869.52
1774,127782.07
1775,143887.81
1776,124021.945
